complex 5;atp5mc1;54,54545455;25;43,75;66,66666667;57,14285714;36,36363636;28
complex 5;atp5mc3a;76;52,94117647;67,64705882;87,09677419;61,81818182;68,18181818;51,85185185
complex 5;atp5mea;37,5;57,14285714;33,33333333;20;35,71428571;75;33,33333333
complex 5;atp5mf;33,33333333;36,84210526;50;20;30,76923077;25;0
complex 5;atp5pb;71,875;53,57142857;38,0952381;28,125;54,38596491;23,72881356;16,36363636
complex 5;atp5pd;91,66666667;75,86206897;97,36842105;91,30434783;97,82608696;67,74193548;3,225806452
complex 5;atp5pf;100;0;90;100;66,66666667;;0
complex 5;atp6ap1a;;;;;;;
complex 5;atp6v0a1a;88,88888889;57,89473684;100;100;96,36363636;58,33333333;10
complex 5;atp6v0a1b;;;;;;;
complex 5;atp6v0a2a;;;;0;;100;
complex 5;atp6v0a2b;100;75;40;66,66666667;41,66666667;100;20
complex 5;atp6v0b;88,88888889;63,88888889;72;83,33333333;65,2173913;78,57142857;9,375
complex 5;atp6v0ca;97,43589744;47,45762712;100;100;99,05660377;76,19047619;0
complex 5;atp6v0d1;66,66666667;44,44444444;61,53846154;42,85714286;59,09090909;71,42857143;66,66666667
complex 5;atp6v1aa;100;94,73684211;61,11111111;88,88888889;41,37931034;65;11,42857143
complex 5;atp6v1ab;84,61538462;78,57142857;67,64705882;73,33333333;73,58490566;30,76923077;9,375
complex 5;atp6v1b2;;;100;;;;
complex 5;atp6v1ba;80,95238095;70,83333333;88,37209302;80,48780488;58,62068966;50;24,61538462
complex 5;atp6v1c1a;75;41,66666667;58,33333333;72,72727273;62,5;66,66666667;7,142857143
complex 5;atp6v1c1b;100;69,23076923;90,47619048;100;56,66666667;71,42857143;13,04347826
complex 5;atp6v1d;75;100;100;100;100;66,66666667;9,090909091
complex 5;atp6v1e1b;37,5;50;0;25;50;25;7,692307692
complex 5;atp6v1f;60;63,63636364;22,22222222;77,77777778;62,5;38,46153846;41,66666667
complex 5;atp6v1g1;100;46,42857143;100;92,59259259;69,6969697;70,58823529;0
complex 5;atpv0e2;;;;;;;
complex 5;tcirg1a;;;;;100;100;100
complex 5;tcirg1b;57,89473684;59,375;68;65,38461538;58,33333333;60;47,61904762
;;;;;;;;
cytochrome c;cycsb;51,11111111;57,74647887;61,84210526;31,14754098;66,18705036;38,88888889;42,85714286
;;;;;;;;
Pi-ADP interaction;lhpp;0;;100;;;50;0
Pi-ADP interaction;ppa1b;52,94117647;87,5;51,51515152;30;64,81481481;50;35,29411765
Pi-ADP interaction;ppa2;100;50;50;40;100;50;0
